post_id,post_text,event_type,timestamp
1,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,17-08-2025 07:02
2,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,27-06-2025 21:54
3,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,26-08-2025 02:15
4,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,04-07-2025 22:15
5,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,26-08-2025 05:01
6,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,27-07-2025 03:09
7,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,25-08-2025 00:11
8,Day two of the Cultural Fest is in full swing! Loved the dance performances this morning.,cultural_fest,16-07-2025 19:29
9,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,14-09-2025 08:03
10,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,03-08-2025 00:30
11,Attending a guest lecture on space exploration today. Mind blown! 🚀,other_event,25-06-2025 00:55
12,Super excited for the new 'Introduction to Quantum Computing' workshop next week!,workshop,18-08-2025 13:51
13,The food stalls at the cultural fest are a must-try! 🌮🍣 #Foodie,cultural_fest,31-07-2025 10:09
14,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,01-08-2025 19:16
15,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,19-07-2025 03:52
16,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,08-07-2025 02:17
17,The annual swimming gala is next week. Time to hit the pool!,sports_event,20-07-2025 20:08
18,The annual job fair is happening today. Networking with some great companies!,other_event,17-09-2025 15:23
19,The food stalls at the cultural fest are a must-try! 🌮🍣 #Foodie,cultural_fest,29-08-2025 15:01
20,"Closing ceremony tonight, what an incredible week it's been! #MITFest",cultural_fest,19-07-2025 20:55
21,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,21-07-2025 17:52
22,Day two of the Cultural Fest is in full swing! Loved the dance performances this morning.,cultural_fest,28-07-2025 04:33
23,The annual job fair is happening today. Networking with some great companies!,other_event,17-09-2025 20:12
24,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,25-06-2025 15:09
25,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,31-08-2025 09:52
26,Day two of the Cultural Fest is in full swing! Loved the dance performances this morning.,cultural_fest,12-08-2025 13:46
27,"Closing ceremony tonight, what an incredible week it's been! #MITFest",cultural_fest,25-06-2025 07:28
28,Went to the film festival. The short films were incredibly creative.,other_event,27-07-2025 13:55
29,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,22-06-2025 20:39
30,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,19-09-2025 14:25
31,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,05-09-2025 10:22
32,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,21-08-2025 21:54
33,The annual job fair is happening today. Networking with some great companies!,other_event,25-06-2025 06:45
34,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,28-07-2025 06:12
35,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,04-09-2025 23:55
36,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,11-09-2025 02:40
37,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,09-07-2025 08:49
38,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,04-08-2025 09:19
